<<,START,CSV,VER00,>>
Sensor,front2,Value,18.1019,C
Sensor,front20,Value,18.1335,C
Sensor,front21,Value,19.0113,C
Sensor,front22,Value,19.0113,C
Sensor,front23,Value,18.6964,C
Sensor,front24,Value,18.5382,C
Sensor,front25,Value,18.5382,C
Sensor,front26,Value,18.4773,C
Sensor,front27,Value,18.3169,C
Sensor,front28,Value,18.3169,C
Sensor,front29,Value,18.2683,C
Sensor,front3,Value,18.1641,C
Sensor,front30,Value,18.2683,C
Sensor,front31,Value,19.0723,C
Sensor,front32,Value,19.0723,C
Sensor,front33,Value,18.6921,C
Sensor,front34,Value,18.5018,C
Sensor,front35,Value,18.5018,C
Sensor,front36,Value,18.4715,C
Sensor,front37,Value,18.2944,C
Sensor,front38,Value,18.2944,C
Sensor,front39,Value,18.2427,C
Sensor,front4,Value,18.1641,C
Sensor,front40,Value,18.2427,C
Sensor,front41,Value,18.4119,C
Sensor,front42,Value,18.4119,C
Sensor,front43,Value,18.2653,C
Sensor,front44,Value,18.204,C
Sensor,front45,Value,18.204,C
Sensor,front46,Value,18.2323,C
Sensor,front47,Value,18.2048,C
Sensor,front48,Value,18.2048,C
Sensor,front49,Value,18.1948,C
Sensor,front5,Value,18.7112,C
Sensor,front50,Value,18.1948,C
Sensor,front6,Value,18.1651,C
Sensor,front7,Value,18.1651,C
Sensor,front8,Value,18.0738,C
Sensor,front9,Value,18.1032,C
<<,END,CSV,VER00,>>
