total_energy_consume,total_called_num,total_reward,average_completion,average_waitting_time
-16799.728366356605,1177,-921.6597284697127,85.8385165298292,-1.0
-17507.42597579834,1177,-392.3271253282834,85.56578925710193,-6.363636363636363
-41828.12118530157,1137,-74.89850459657805,76.47488016619285,-3.3636363636363638
-17159.823989867728,1182,-163.5311035352937,105.74760743892011,-12.545454545454545
-19243.257808684488,1168,-330.40942395639115,77.47488016619285,-4.363636363636363
-18337.100028991175,1174,-458.11185403073034,80.65669834801102,-4.545454545454546
-18699.78603913955,1174,-595.8127765607632,84.9294256207383,-1.0
-28045.10908126738,1163,-699.603644010304,97.02033471164738,-3.8181818181818183
-17405.887208690372,1176,-1160.2589483738775,91.38397107528375,-3.3636363636363638
-16074.514894561173,1177,-1053.5005225411496,92.9294256207383,-1.0
-15641.92485809201,1177,-1040.6669822185158,85.20215289346557,-1.0
-17010.623073576717,1176,-1081.761532463166,85.74760743892011,-1.0
-26025.502028110437,1159,-1027.089147080556,101.38397107528375,-29.90909090909091
-14759.45663452067,1177,-924.071619091726,83.47488016619285,-1.0
-16165.958118438488,1177,-946.4870182883379,93.8385165298292,-3.8181818181818183
-16436.245948918542,1177,-1120.0871533792372,91.47488016619285,-1.0
-16322.04895019508,1177,-768.2302650636501,99.11124380255647,-4.363636363636363
-41320.05043029698,1137,-1014.4275866764641,115.02033471164738,-11.0
-14243.216514586064,1177,-749.2905993339787,103.9294256207383,-22.181818181818183
-14549.910583872028,1177,-972.2842588672776,116.38397107528375,-21.0
-44042.13323593096,1137,-160.91085393456046,77.47488016619285,-6.363636363636363
-43054.70495223923,1137,-248.0226076156854,83.20215289346557,-4.363636363636363
-26557.733058928774,1163,-570.1913010409103,92.74760743892011,-16.272727272727273
-14745.70283889721,1174,-546.4415310363581,81.38397107528375,-1.0
-41820.8398412767,1141,-290.51012893949076,76.8385165298292,-8.090909090909092
-22878.100490569574,1163,-328.3740930909021,77.56578925710193,-7.363636363636363
-18444.950428031938,1172,-917.1499498312661,95.74760743892011,-18.09090909090909
-43816.576194762456,1137,-283.92127924412523,83.56578925710193,-6.363636363636363
-45483.77062401819,1137,65.33439062199136,75.65669834801102,-3.3636363636363638
-37241.30276577402,1147,-369.46114165384324,80.38397107528375,-11.727272727272727
-14723.26555251985,1176,-760.9406044128888,86.74760743892011,-1.0
-15221.586649799428,1176,-676.5826067171229,83.38397107528375,-1.0
-16409.442129715695,1176,-706.5433256368348,82.8385165298292,-1.0
-15394.792842864437,1176,-607.0754060787451,83.38397107528375,-1.0
-15634.309387205547,1176,-606.1929627035082,83.38397107528375,-1.0
-15529.948074056621,1176,-669.5515611185119,81.56578925710193,-1.0
-17252.267074584583,1174,-323.0309250215237,78.02033471164738,-4.363636363636363
-15059.051799773122,1176,-618.6099144075542,80.02033471164738,-4.363636363636363
-16513.861942290096,1176,-639.0319486188565,79.47488016619285,-4.363636363636363
-16847.890923364117,1174,-536.3265142654326,81.38397107528375,-1.0
-17457.050228118023,1174,-550.8470136120466,76.8385165298292,-4.545454545454546
-19495.765113829402,1174,-671.2202395798403,80.38397107528375,-1.0
-14935.402611389989,1177,-972.6595774052615,101.65669834801102,-4.545454545454546
-19002.169132231997,1174,-665.6419809436871,78.02033471164738,-3.3636363636363638
-17675.085332433227,1176,-906.9352157268797,86.74760743892011,-1.0
-15856.160259246331,1177,-1208.491893804899,108.02033471164738,-20.0
-15209.748565142829,1177,-967.9110424029012,118.8385165298292,-11.0
-14240.97554216723,1177,-948.3628650997347,117.20215289346557,-11.0
-16893.837157661532,1177,-1281.6411266700152,95.11124380255647,-2.0
-13403.568077086355,1177,-1331.6608792786542,135.65669834801102,-1.2727272727272727
-14076.466682986502,1177,-1147.7741692589693,100.74760743892011,-11.0
-18003.076744078717,1174,-1329.7967144047793,94.9294256207383,-3.3636363636363638
-16767.249870299333,1176,-591.577613266651,85.74760743892011,-1.0
-18079.846096155874,1174,-402.0817882805534,81.38397107528375,-1.0
-16511.675928768615,1177,-698.5178928578154,92.9294256207383,-7.7272727272727275
-18317.1775817865,1174,-496.81712862907966,81.38397107528375,-1.0
-19192.314800550113,1174,-683.0829351596632,80.38397107528375,-1.0
-19231.842327116872,1174,-683.1738066735609,80.38397107528375,-1.0
-15416.802692412544,1176,-922.8515779835251,92.8385165298292,-1.0
-14294.10385414341,1177,-880.7285517253483,93.47488016619285,-1.0
-31408.12961477533,1155,-728.6124176865371,92.20215289346557,-6.363636363636363
-31151.2790679927,1155,-823.7392224216609,106.8385165298292,-1.0
-15502.884006499313,1177,-811.9074072192182,86.20215289346557,-1.0
-15786.801052092516,1177,-928.8278744606014,90.65669834801102,-1.0
-17703.05139566204,1176,-669.9983176434623,82.38397107528375,-3.8181818181818183
-15533.622865870304,1177,-832.1303226477456,91.65669834801102,-1.0
-15711.5919113149,1177,-1199.8521992512067,90.9294256207383,-3.3636363636363638
-16062.975883482955,1177,-892.5036882931695,90.8385165298292,-1.2727272727272727
-14667.367410687584,1177,-1055.7324651801046,92.47488016619285,-1.0
-14746.467876433104,1177,-966.1584151917265,96.29306198437466,-1.0
-15760.083103178913,1177,-826.7272943686726,95.8385165298292,-1.0
-15232.628346860263,1177,-877.2734505524992,91.74760743892011,-7.363636363636363
-15329.592106682743,1177,-770.5388390659534,93.20215289346557,-5.545454545454546
-14734.283065794996,1177,-871.286984347317,97.02033471164738,-1.0
-15550.526045556413,1177,-1024.1267883329015,92.29306198437466,-1.0
-15081.679310591077,1177,-996.4674826663406,90.9294256207383,-1.0
