total_energy_consume,total_called_num,total_reward,average_completion,average_waitting_time
-41260.13860702433,1137,-833.4583180207133,90.38397107528375,-49.36363636363637
-18581.081485747534,1177,-144.05103714664233,79.29306198437467,-3.3636363636363638
-13686.454582213715,1177,-655.1434950574909,112.29306198437463,-4.545454545454546
-174.7550010670093,1200,-215.9326606413581,97.11124380255647,-3.3636363636363638
-16154.28485870309,1177,-710.3600098494861,91.11124380255647,-19.181818181818183
-12350.176048278401,1182,-378.4060321355423,109.47488016619282,-1.0
-27319.32992935067,1159,-86.20346946756865,84.20215289346557,-1.0
-31042.49093739732,1155,-302.0039769070644,80.9294256207383,-1.0
-35503.86829376151,1148,-133.19802473415427,79.8385165298292,-1.0
-9877.793966221332,1182,-99.07293030951132,85.38397107528375,-1.0
-35198.125076293625,1148,-130.4535539354698,78.02033471164738,-1.0
-31630.63339127894,1155,-229.3700409880014,81.47488016619285,-1.0
-29948.588030778978,1159,-315.96548464994805,84.47488016619285,-1.0
-19022.471031476598,1174,-543.4685679409992,86.56578925710193,-1.0
-17596.98400497358,1176,-788.5723003857669,85.74760743892011,-1.0
-3451.460838316707,1200,-282.0930643170284,116.29306198437466,-1.0
-2833.096790313255,1200,-478.9741174394585,112.8385165298292,-5.7272727272727275
1746.1152076728176,1199,-844.424580923607,130.7476074389201,-27.727272727272727
-2718.647289275221,1200,-418.0185458650551,100.47488016619285,-18.09090909090909
-143.48776836582692,1200,-487.44577460456446,112.11124380255647,-12.727272727272727
98.69261736352928,1200,-706.7875232250713,102.74760743892011,-32.72727272727273
-17294.17585028283,1177,-691.1464555075967,119.8385165298292,-11.0
-391.4405822742265,1200,-401.08306070890046,93.02033471164738,-4.363636363636363
-15870.689171471982,1177,-582.7246516669114,96.11124380255647,-4.363636363636363
-17584.40750418586,1177,-376.897274509907,87.9294256207383,-19.545454545454547
-3297.605895995075,1200,-316.80423815383017,107.20215289346557,-7.909090909090909
-16501.52950286804,1177,-502.1923228547662,111.8385165298292,-11.0
-18798.28625279796,1177,-405.2311371121034,103.11124380255647,-9.727272727272727
-18947.68972128289,1177,-569.7489168994913,104.8385165298292,-1.0
-19686.209106444556,1177,-298.7050977515885,102.8385165298292,-1.0
-4846.243472987408,1200,-252.58663507925178,103.02033471164738,-1.0
-18079.56304550002,1177,-471.3492634027526,101.11124380255647,-14.363636363636363
-18821.82683944609,1177,-484.9880823707042,116.47488016619285,-1.0
-19485.36100166003,1177,-478.8781538055797,106.29306198437466,-9.363636363636363
-17779.945057549863,1177,-657.9569096397746,104.8385165298292,-3.8181818181818183
-31052.075832943054,1155,-822.8844042665859,100.9294256207383,-1.0
-16737.337180595758,1177,-723.7940946665915,92.74760743892011,-7.7272727272727275
-17670.276360327494,1177,-506.8489788533726,94.47488016619285,-1.0
-17779.94601324314,1177,-299.73533119771616,89.11124380255647,-1.0
-17506.987533897685,1177,-555.8733696139111,97.8385165298292,-3.8181818181818183
-17910.583608095854,1177,-689.8909204925542,101.11124380255647,-4.363636363636363
-17448.186848798214,1177,-622.4055723154229,113.56578925710193,-1.0
-18544.89154815665,1177,-571.4863565148372,92.8385165298292,-17.727272727272727
-17907.278227133647,1177,-430.7517880470939,89.65669834801102,-1.0
-19599.86866287986,1177,-518.4450104040285,96.56578925710193,-1.0
-16877.650451659167,1177,-680.2850337824976,108.56578925710193,-1.0
-17107.915420778445,1177,-670.2217722593984,96.47488016619285,-11.0
-18694.333934783586,1177,-373.4020292076077,98.74760743892011,-1.0
-17961.25959947289,1177,-490.7860808559725,99.47488016619285,-12.272727272727273
-18235.35161712885,1177,-339.40486288674106,98.20215289346557,-4.363636363636363
-16116.393653327075,1177,-664.191590520278,126.02033471164738,-19.363636363636363
-18003.719902037847,1177,-358.6260487136774,88.47488016619285,-1.2727272727272727
-18061.259269772185,1177,-439.0617798554006,88.38397107528375,-4.363636363636363
-18567.551708220853,1177,-313.40228034439474,89.74760743892011,-1.0
-18672.947068954876,1177,-369.75454443647027,91.02033471164738,-1.0
-29570.803865808004,1163,-433.5602537614843,88.20215289346557,-4.363636363636363
-18262.727935077914,1177,-328.01303629783445,87.29306198437466,-1.0
-30441.527652739547,1159,-329.6253841746634,84.47488016619285,-1.0
-18540.812879326055,1174,-543.567635644292,83.20215289346557,-1.0
-23015.539019488555,1168,-682.8380493175617,92.74760743892011,-1.0
-18559.07064864505,1174,-603.8281202857144,82.65669834801102,-1.0
-17182.251548766566,1177,-709.428704760007,96.02033471164738,-1.0
-19082.949542998424,1177,-185.4693061028405,90.47488016619285,-2.0
-16572.432678798854,1177,-576.9827542151819,89.8385165298292,-1.0
-19652.908515929128,1177,-348.6066783178974,91.65669834801102,-1.0
-19258.792646978283,1177,-349.9785859226927,93.8385165298292,-1.0
-19151.788606754475,1177,-415.05345178237314,93.02033471164738,-1.0
-19677.84318923825,1177,-412.03001965852627,93.47488016619285,-1.0
-18861.36168073595,1177,-314.7818183336094,89.11124380255647,-3.3636363636363638
-18684.23317365747,1177,-298.5473514032851,88.65669834801102,-2.0
-29712.99018859747,1159,-312.66187241217347,84.47488016619285,-1.0
-17630.71565633794,1177,-333.47213875807086,89.11124380255647,-1.0
-18060.010776613373,1177,-446.53616813565077,103.56578925710193,-1.0
-25788.889735420846,1163,-520.8284966829202,85.56578925710193,-1.0
-26197.525978087448,1163,-338.09718922700085,85.20215289346557,-1.0
-17947.879886626295,1177,-188.32436542403764,89.65669834801102,-1.0
-18530.813598632056,1174,-597.9648928995405,85.20215289346557,-1.0
-18441.00694656276,1174,-520.2317582474727,83.20215289346557,-1.0
-25185.293790586205,1163,-367.734067984558,82.20215289346557,-1.0
-26027.458744095056,1163,-361.54541088175665,85.20215289346557,-1.0
-18942.690527831786,1174,-501.89486916559633,83.38397107528375,-1.0
-18807.593250273814,1174,-664.5668695173503,95.29306198437466,-1.0
-19259.75800395239,1177,-384.3180190953243,95.02033471164738,-1.0
-17212.671116427664,1177,-626.5824577727592,108.20215289346557,-1.0
-18764.280935075105,1174,-612.2932061574126,81.38397107528375,-1.0
-18749.335602418374,1174,-602.7703453382212,81.38397107528375,-1.0
-19181.214108141547,1174,-563.0166944899203,81.56578925710193,-1.0
-18651.878070830542,1174,-857.6354933335763,89.11124380255647,-1.0
-3838.394737242401,1200,-214.1737273367346,99.02033471164738,-3.3636363636363638
-5547.893428801472,1200,-147.70380740528083,120.11124380255646,-12.090909090909092
-30651.339912413823,1159,-536.5580662965893,96.56578925710193,-1.0
-14952.40158357643,1182,-129.63287839878922,89.20215289346557,-1.0
-16622.078515763686,1177,-823.3885277868161,105.38397107528375,-1.0
-12749.999141691922,1182,55.36586228890235,86.20215289346557,-1.0
-23754.680728911684,1163,-293.2324209699318,79.38397107528375,-1.0
-16786.150360106403,1176,-571.2039208001282,79.56578925710193,-3.8181818181818183
-18373.257923125144,1174,-530.7746731445081,83.20215289346557,-1.0
-31662.49122619556,1155,-300.056396753595,81.47488016619285,-1.0
-24153.20629664822,1163,-364.6296072468584,81.65669834801102,-1.0
-24840.674065200466,1163,-361.7771234270658,81.65669834801102,-1.0
-42995.604785070056,1137,-90.26058803055105,77.02033471164738,-1.0
-17784.44565646947,1174,-560.8719149647227,83.38397107528375,-1.0
-17355.24400987674,1176,-613.9122074720541,80.02033471164738,-3.3636363636363638
-16607.00740814107,1177,-630.9080460051011,93.56578925710193,-2.0
-23985.940848891303,1163,-107.0803135184724,76.47488016619285,-4.363636363636363
-18295.39759237875,1174,-859.772140972794,86.20215289346557,-1.0
-19336.55645514597,1174,-782.2891623256305,101.74760743892011,-1.0
-22907.62252807524,1168,-871.7770427952883,91.56578925710193,-1.0
-15832.380638156697,1177,-1183.0261909142353,108.47488016619285,-1.0
-17785.256481169607,1177,-336.67497051540056,83.38397107528375,-3.8181818181818183
-17307.536874581565,1177,-383.1627162967601,86.11124380255647,-1.0
-18093.15176010024,1177,-352.5574726003217,89.56578925710193,-1.2727272727272727
-14842.458760401525,1177,-768.5639729779127,103.47488016619285,-1.0
-502.0748320846469,1200,-650.1183157242408,108.11124380255647,-1.0
-3345.8786286233517,1200,-402.47409534348185,108.11124380255647,-1.0
-18143.215662118746,1177,-553.9946477737603,93.8385165298292,-8.727272727272727
-24213.862142568018,1165,-794.1713691689,107.29306198437466,-1.0
-16725.85464104754,1177,-559.8834213258507,87.8385165298292,-1.2727272727272727
-17658.305740355456,1177,-499.54901621841793,94.20215289346557,-2.0
-19060.859941881994,1177,-419.4827219771239,98.9294256207383,-1.0
-19277.750587462535,1177,-538.8527330758914,99.9294256207383,-6.363636363636363
-18505.846023558377,1177,-486.0642441020426,109.11124380255647,-7.7272727272727275
-1454.8114559488022,1200,-631.5431907152089,114.20215289346557,-12.0
-17452.101557695627,1177,-531.0287884261031,98.9294256207383,-10.272727272727273
-2323.3391383006237,1200,-315.44278800211237,108.56578925710193,-1.0
-2322.566189146659,1200,-348.2090008075327,108.8385165298292,-3.3636363636363638
-14864.6058082573,1177,-797.8412350821053,104.65669834801102,-1.0
-17892.834091185476,1177,-669.8071418713124,94.65669834801102,-1.0
-15508.977413176966,1177,-838.98227952803,113.47488016619285,-1.0
-3199.7829437246255,1200,-412.4487648904849,102.74760743892011,-1.0
-2439.9012075340434,1200,-306.1573084434119,94.65669834801102,-1.0
-18173.166275023133,1177,-336.7214042295858,91.47488016619285,-1.0
-18631.03666305536,1177,-364.234838042909,91.47488016619285,-1.0
-18529.25051980329,1177,-308.54954926857033,91.47488016619285,-1.0
-20047.234909887076,1177,-260.11580333641064,88.11124380255647,-3.3636363636363638
-17655.1271438587,1176,-781.1352943362855,83.9294256207383,-1.0
-19320.317303798307,1174,-612.8325497028378,84.9294256207383,-1.0
-16079.113769530697,1177,-1086.2124869199242,87.02033471164738,-1.0
-16661.66245881887,1177,-752.1563378818055,81.29306198437466,-3.3636363636363638
-16570.93133926284,1177,-1091.2074533951352,92.38397107528375,-1.0
-17635.581812397897,1176,-540.9802033199236,80.0203347116474,-4.363636363636363
-16947.769132353744,1177,-454.5460449258545,93.20215289346557,-1.0
-28053.79486083903,1163,-557.5058128259768,95.11124380255647,-1.0
-12660.11161815832,1188,-320.196960059484,104.11124380255647,-1.0
-16287.918090818916,1177,-770.7600219883959,96.9294256207383,-1.0
