total_energy_consume,total_called_num,total_reward,average_completion,average_waitting_time
5908.462140201969,1200,-1042.0305349185896,141.0203347116474,-1.0
-39962.01871897708,1137,-1413.6563436097229,130.7476074389201,-1.0
-16898.442730237613,1176,-721.8463751503813,88.56578925710193,-3.8181818181818183
-12613.9060020436,1182,-618.0201967932207,139.8385165298292,-11.0
-11384.938662551227,1182,-672.1565620808547,95.11124380255647,-57.72727272727273
-40261.89365386835,1137,-988.0214553059664,97.11124380255647,-53.0
-26008.538246153417,1158,-927.4087788975313,122.20215289346557,-1.0
-30816.929121116,1150,-1195.3542296818596,118.56578925710193,-3.3636363636363638
-28853.693103789206,1155,-878.3810748617027,106.65669834801102,-21.363636363636363
-25750.220203398843,1159,-985.9921739390304,102.29306198437466,-1.0
-26800.174713133893,1159,-1153.8956019509424,115.8385165298292,-1.0
-25673.507625061087,1159,-970.8965634867942,117.11124380255647,-4.545454545454546
-25345.284175871522,1159,-1057.418615518331,136.65669834801102,-9.363636363636363
-27034.312534331315,1159,-1284.338373374134,112.02033471164738,-1.0
-24766.585063933657,1163,-1306.0552780686153,114.20215289346557,-1.0
-22573.194408416253,1163,-1220.939521177942,113.74760743892011,-3.8181818181818183
-24619.443511962396,1163,-1123.18245991154,99.56578925710193,-13.090909090909092
-28027.3884773248,1159,-600.6589753403701,97.47488016619285,-1.0
-20077.266573233617,1168,-968.5669740088827,101.02033471164738,-21.636363636363637
-26038.001918791648,1163,-610.9070930142265,94.56578925710193,-11.090909090909092
-43102.9748024272,1137,-809.8896535242402,109.29306198437466,-9.909090909090908
-45003.23553085231,1137,-350.66592472366585,87.74760743892011,-4.545454545454546
-42370.9384918203,1137,-752.8913286166306,107.29306198437466,-8.727272727272727
-25452.798843382712,1159,-954.8292137039653,119.11124380255647,-27.727272727272727
-26603.0848503109,1159,-935.3989835292366,115.02033471164738,-21.363636363636363
-24850.095176695933,1159,-998.1502466711048,105.47488016619285,-31.363636363636363
-25454.534053802403,1159,-863.5395391062999,100.38397107528375,-46.09090909090909
-25226.099967955262,1159,-970.8537751524834,103.74760743892011,-36.09090909090909
-25002.095603942405,1159,-941.3312524435087,125.11124380255647,-9.363636363636363
-26337.020252792485,1159,-1289.9159362958258,100.47488016619285,-1.0
-25437.96423368572,1159,-1233.2037667881807,115.8385165298292,-9.363636363636363
-25671.248063027015,1159,-1112.828197910551,96.74760743892011,-12.181818181818182
-25283.17480087219,1159,-1123.4819186319264,98.65669834801102,-1.0
-25050.74071884068,1159,-1035.5152435328903,83.11124380255647,-13.0
-27629.07418387549,1159,-993.7624496292308,90.11124380255647,-1.0
-27137.17918395897,1159,-1169.6949566103601,100.47488016619285,-1.0
-26342.71007355067,1159,-969.5294294984566,105.11124380255647,-1.0
-26401.636219023843,1159,-941.6175214824086,90.29306198437466,-14.545454545454545
-26397.430651745846,1159,-1108.3615690339507,92.74760743892011,-6.909090909090909
-26270.283222197613,1159,-1052.0776444336561,95.38397107528375,-1.0
-26887.4728871384,1159,-1004.0547658580466,86.47488016619285,-6.363636363636363
-26172.95722961356,1159,-1175.1254984779853,86.74760743892011,-14.090909090909092
-27109.792327879433,1155,-1015.6017369117843,104.11124380255647,-13.0
-25613.501930235798,1159,-1113.7803805207584,105.11124380255647,-1.0
-25540.86799621521,1159,-1206.782186004346,103.47488016619285,-1.0
-26562.52355575445,1159,-1155.6944790694195,97.9294256207383,-1.0
-27147.000563538255,1159,-1172.4511033394076,95.38397107528375,-1.0
-27313.569545745122,1159,-1004.69280475477,84.74760743892011,-6.363636363636363
-27048.507091026608,1159,-826.4668710949702,94.8385165298292,-1.0
-26549.793071934168,1159,-993.8156367327048,96.02033471164738,-3.3636363636363638
-26367.100843746797,1159,-988.7107637512679,92.11124380255647,-1.0
-27000.78077316101,1159,-1102.2254310383566,90.11124380255647,-1.0
-26915.43960571222,1159,-1178.573490991807,90.11124380255647,-1.0
-26933.57219695978,1159,-1000.2354290311789,93.11124380255647,-1.0
-25423.66018295224,1159,-1249.7609780863324,92.74760743892011,-3.3636363636363638
-25609.54427718956,1159,-1163.3905966795774,96.74760743892011,-1.0
-15610.935688017693,1176,-1214.6402368470244,92.02033471164738,-1.0
-24662.356853484147,1163,-1271.3137647384738,96.20215289346557,-1.0
-26151.42616291874,1159,-1145.838026725753,95.02033471164738,-1.0
-26702.267465596145,1159,-1301.5920893450657,99.47488016619285,-1.0
-25969.018936155975,1159,-1068.8628848533563,92.11124380255647,-6.363636363636363
-25157.415085061948,1159,-1113.4873646180777,104.65669834801102,-3.8181818181818183
-25239.571094511834,1159,-1170.3823355345755,98.65669834801102,-1.0
-25057.598203952482,1159,-1024.5346873198496,93.56578925710193,-14.545454545454545
-25497.37969828144,1159,-1119.1944601104203,93.11124380255647,-13.0
-25950.939273833035,1159,-1239.3008083284935,100.47488016619285,-1.0
-23811.065714858938,1163,-1359.910614654457,97.47488016619285,-1.0
-26269.13108825567,1159,-1027.7012610171973,96.74760743892011,-1.0
-13506.909656523669,1177,-1197.7799117507675,86.74760743892011,-13.0
-26991.676055670745,1159,-890.2921632440334,91.8385165298292,-17.727272727272727
-25902.69985198838,1159,-1032.0981925167712,106.74760743892011,-13.0
-23363.390064238425,1163,-1152.5406978657907,111.74760743892011,-6.363636363636363
-27607.64493942182,1159,-1268.8825781336902,99.11124380255647,-1.0
-26254.895939149195,1159,-1031.8691794751635,96.74760743892011,-1.0
-13664.877428360312,1177,-1031.6559304387524,116.47488016619285,-11.272727272727273
-12909.093268264493,1177,-1101.3605994270279,97.56578925710193,-4.545454545454546
-26766.484165191214,1159,-1140.5620660831974,108.65669834801102,-1.0
-23396.51641845613,1163,-1151.286681514483,92.8385165298292,-21.09090909090909
-14476.395508941874,1176,-1012.8763447606196,110.29306198437466,-21.272727272727273
-14947.831042159494,1176,-1324.408247881117,98.65669834801102,-1.0
-14018.37215423488,1177,-1002.2762016065035,86.47488016619285,-1.0
-15371.410589234903,1177,-1076.1991489320462,93.56578925710193,-1.0
-13464.471530913492,1177,-1273.8049686077782,104.29306198437466,-3.8181818181818183
