CMDLINE c:\users\kangyifei\appdata\local\programs\python\python37\python.exe test_simulation.py
MEM 0.343750 1593524368.6052
MEM 11.707031 1593524368.7060
MEM 17.378906 1593524368.8067
MEM 22.820312 1593524368.9074
MEM 26.988281 1593524369.0081
MEM 30.125000 1593524369.1089
MEM 35.542969 1593524369.2096
MEM 46.597656 1593524369.3104
MEM 47.835938 1593524369.4111
MEM 47.835938 1593524369.5118
MEM 47.835938 1593524369.6126
MEM 47.906250 1593524369.7133
MEM 47.355469 1593524369.8140
MEM 50.914062 1593524369.9147
MEM 57.417969 1593524370.0155
MEM 57.421875 1593524370.1162
MEM 59.195312 1593524370.2169
MEM 65.511719 1593524370.3177
MEM 73.464844 1593524370.4184
MEM 78.824219 1593524370.5191
MEM 83.781250 1593524370.6199
MEM 83.972656 1593524370.7206
MEM 84.175781 1593524370.8213
MEM 84.445312 1593524370.9220
MEM 84.570312 1593524371.0267
MEM 84.710938 1593524371.1275
MEM 84.906250 1593524371.2282
MEM 85.132812 1593524371.3290
MEM 85.324219 1593524371.4297
MEM 85.515625 1593524371.5304
MEM 85.703125 1593524371.6311
MEM 85.890625 1593524371.7319
MEM 86.042969 1593524371.8326
MEM 86.265625 1593524371.9333
MEM 86.453125 1593524372.0341
MEM 86.640625 1593524372.1348
MEM 86.792969 1593524372.2355
MEM 86.988281 1593524372.3363
MEM 87.332031 1593524372.4370
MEM 87.519531 1593524372.5377
MEM 87.769531 1593524372.6385
MEM 87.906250 1593524372.7392
MEM 88.144531 1593524372.8399
MEM 88.332031 1593524372.9406
MEM 88.519531 1593524373.0414
MEM 88.687500 1593524373.1421
MEM 88.894531 1593524373.2428
MEM 89.082031 1593524373.3436
MEM 89.269531 1593524373.4443
MEM 89.441406 1593524373.5450
MEM 89.925781 1593524373.6458
MEM 90.113281 1593524373.7465
MEM 90.300781 1593524373.8472
MEM 90.476562 1593524373.9480
MEM 90.675781 1593524374.0487
MEM 90.863281 1593524374.1494
MEM 91.050781 1593524374.2502
MEM 91.230469 1593524374.3509
MEM 91.386719 1593524374.4516
MEM 91.613281 1593524374.5523
MEM 91.800781 1593524374.6531
MEM 91.949219 1593524374.7538
MEM 92.175781 1593524374.8545
MEM 92.363281 1593524374.9553
MEM 92.550781 1593524375.0560
MEM 92.710938 1593524375.1567
MEM 92.925781 1593524375.2575
MEM 93.113281 1593524375.3582
MEM 93.300781 1593524375.4589
MEM 93.488281 1593524375.5596
MEM 93.679688 1593524375.6604
MEM 93.925781 1593524375.7611
MEM 94.113281 1593524375.8618
MEM 94.300781 1593524375.9626
MEM 94.445312 1593524376.0633
MEM 94.675781 1593524376.1640
MEM 94.863281 1593524376.2647
MEM 95.050781 1593524376.3655
MEM 95.203125 1593524376.4662
MEM 95.382812 1593524376.5670
MEM 95.613281 1593524376.6677
MEM 95.800781 1593524376.7684
MEM 95.953125 1593524376.8691
MEM 102.812500 1593524376.9699
MEM 102.812500 1593524377.0706
MEM 97.265625 1593524377.1713
MEM 98.960938 1593524377.2721
MEM 100.152344 1593524377.3728
MEM 100.910156 1593524377.4735
MEM 101.226562 1593524377.5742
MEM 101.585938 1593524377.6750
MEM 101.968750 1593524377.7757
MEM 102.480469 1593524377.8764
MEM 103.234375 1593524377.9772
MEM 104.941406 1593524378.0779
MEM 105.425781 1593524378.1786
MEM 105.734375 1593524378.2793
MEM 105.921875 1593524378.3801
MEM 106.359375 1593524378.4808
MEM 106.753906 1593524378.5815
MEM 106.812500 1593524378.6823
MEM 107.136719 1593524378.7830
MEM 107.593750 1593524378.8837
MEM 108.312500 1593524378.9845
MEM 109.257812 1593524379.0852
MEM 109.507812 1593524379.1859
MEM 109.816406 1593524379.2867
MEM 110.003906 1593524379.3874
MEM 110.398438 1593524379.4881
MEM 111.007812 1593524379.5889
MEM 111.390625 1593524379.6896
MEM 111.761719 1593524379.7903
MEM 112.207031 1593524379.8911
MEM 112.332031 1593524379.9918
MEM 112.394531 1593524380.0925
MEM 112.835938 1593524380.1933
MEM 112.898438 1593524380.2940
MEM 113.210938 1593524380.3947
MEM 113.964844 1593524380.4954
MEM 114.031250 1593524380.5962
MEM 114.214844 1593524380.6969
MEM 114.343750 1593524380.7976
MEM 114.601562 1593524380.8983
MEM 115.054688 1593524380.9991
MEM 115.054688 1593524381.0998
MEM 115.179688 1593524381.2005
MEM 115.496094 1593524381.3013
MEM 115.746094 1593524381.4020
MEM 115.769531 1593524381.5027
MEM 115.996094 1593524381.6035
MEM 116.074219 1593524381.7042
MEM 116.433594 1593524381.8049
MEM 116.453125 1593524381.9057
MEM 116.578125 1593524382.0064
MEM 116.953125 1593524382.1071
MEM 117.230469 1593524382.2078
MEM 117.453125 1593524382.3086
MEM 117.546875 1593524382.4093
MEM 118.246094 1593524382.5100
MEM 118.320312 1593524382.6108
MEM 118.390625 1593524382.7115
MEM 118.421875 1593524382.8123
MEM 118.652344 1593524382.9130
MEM 118.781250 1593524383.0137
MEM 118.843750 1593524383.1144
MEM 119.031250 1593524383.2152
MEM 119.125000 1593524383.3159
MEM 119.234375 1593524383.4166
MEM 119.500000 1593524383.5173
MEM 119.562500 1593524383.6181
