CMDLINE c:\users\kangyifei\appdata\local\programs\python\python37\python.exe test_simulation.py
MEM 0.558594 1593524210.6496
MEM 11.226562 1593524210.7503
MEM 16.523438 1593524210.8511
MEM 22.031250 1593524210.9518
MEM 26.363281 1593524211.0525
MEM 29.660156 1593524211.1533
MEM 32.953125 1593524211.2540
MEM 42.449219 1593524211.3547
MEM 47.773438 1593524211.4554
MEM 47.773438 1593524211.5562
MEM 47.773438 1593524211.6569
MEM 47.773438 1593524211.7576
MEM 47.843750 1593524211.8583
MEM 48.746094 1593524211.9591
MEM 53.531250 1593524212.0598
MEM 75.253906 1593524212.1606
MEM 89.433594 1593524212.2613
MEM 89.828125 1593524212.3620
MEM 89.828125 1593524212.4627
MEM 91.027344 1593524212.5635
MEM 98.949219 1593524212.6642
MEM 108.300781 1593524212.7649
MEM 114.605469 1593524212.8657
MEM 121.636719 1593524212.9664
MEM 128.292969 1593524213.0671
MEM 131.796875 1593524213.1678
MEM 135.750000 1593524213.2686
MEM 140.449219 1593524213.3693
MEM 144.968750 1593524213.4700
MEM 148.187500 1593524213.5708
MEM 150.375000 1593524213.6715
MEM 153.246094 1593524213.7722
MEM 157.402344 1593524213.8730
MEM 158.992188 1593524213.9737
MEM 159.011719 1593524214.0744
MEM 159.011719 1593524214.1751
MEM 159.011719 1593524214.2759
MEM 159.011719 1593524214.3766
MEM 159.011719 1593524214.4773
MEM 159.011719 1593524214.5781
