total_energy_consume,total_called_num,total_reward,average_completion,average_waitting_time
-5475.207424162829,1190,-693.6479155664616,89.29306198437466,-1.0
615.9890578141203,1200,-151.89438843178516,85.83851652982922,-3.8181818181818183
-2650.233936309378,1200,-370.10633486653273,101.7476074389201,-26.636363636363637
-31414.965534209856,1159,-35.62053879404664,76.47488016619285,-7.7272727272727275
-12269.983577727544,1182,-79.91053981280913,76.8385165298292,-9.363636363636363
-31502.55575179949,1159,-26.160613763953393,80.8385165298292,-4.363636363636363
-15263.012981413893,1177,-331.62682037357456,83.9294256207383,-1.0
1846.6464042677544,1199,-924.7275557009119,115.20215289346557,-11.0
1358.345854560088,1199,-755.2080015323153,93.8385165298292,-1.0
560.9417015953222,1199,-924.4846274972057,99.8385165298292,-1.0
5092.332458497316,1199,-1067.4730035535345,119.11124380255647,-33.36363636363637
-15388.189887999702,1177,-534.5105656709823,94.38397107528375,-33.09090909090909
-12686.515903472493,1182,-309.8835727734197,109.92942562073827,-9.727272727272727
-24951.04128710387,1165,-219.1014733458062,92.65669834801102,-4.363636363636363
-12827.611288916727,1182,-427.74205289015333,88.9294256207383,-20.818181818181817
-25973.387105552218,1165,-130.91741923413474,83.56578925710193,-1.0
-15739.566337347904,1177,-335.2772085818657,81.47488016619285,-1.0
-17280.78517913824,1177,-496.44562327583117,86.47488016619285,-6.363636363636363
-9502.729511259677,1185,-454.6435242562227,85.20215289346557,-1.0
-28089.88752365028,1159,-50.02858332162316,78.8385165298292,-1.0
-29969.298648833385,1159,-91.06597530740362,78.8385165298292,-1.0
-30052.27146148603,1159,-84.4667932660808,78.8385165298292,-1.0
-16842.717075347464,1177,-214.74795536181205,81.47488016619285,-1.0
-16679.233630284027,1177,-296.23773439108356,79.11124380255647,-3.3636363636363638
-16736.29782272686,1177,-316.9183483657479,81.65669834801102,-1.0
-17188.790088622685,1177,-238.6249842334306,79.29306198437466,-3.3636363636363638
-18179.411577506195,1177,-434.2932801207518,87.02033471164738,-1.0
-16871.658039091533,1177,-348.0122977248799,84.65669834801102,-3.3636363636363638
-17024.03841018604,1177,-343.5948374295525,81.47488016619285,-1.0
-17802.68955230541,1177,-339.39279769117616,91.56578925710193,-1.0
-18651.830005645053,1177,-315.8134847050567,86.8385165298292,-1.0
-18303.95536422645,1177,-406.46776912731593,85.02033471164738,-1.0
-18157.29589462222,1177,-416.1166226683224,82.65669834801102,-3.3636363636363638
-18257.740809692972,1177,-408.8958591562098,81.65669834801102,-4.363636363636363
-18952.54526138131,1177,-309.2888538981284,89.8385165298292,-1.0
-19007.295465498755,1177,-362.79100226906644,81.29306198437466,-7.7272727272727275
-17652.67095565636,1182,-145.94390391723334,87.02033471164738,-4.363636363636363
-20435.2764129634,1177,-227.70906131762945,90.56578925710193,-8.727272727272727
-17595.24973463005,1182,-241.95747796578178,87.02033471164738,-9.363636363636363
-15934.208066374587,1182,-262.21970307761876,86.02033471164738,-9.363636363636363
-18632.601438450452,1182,-291.1108457524681,93.74760743892011,-1.0
-14163.520044796373,1182,-390.5601104857485,88.02033471164738,-4.545454545454546
-3189.3267631523777,1200,-320.7262700063367,97.47488016619285,-1.0
-2365.1424272550503,1200,-393.8950429914953,109.47488016619285,-1.0
-606.2309665249195,1200,-498.0490573575685,112.56578925710193,-1.0
-2139.8732185345143,1200,-250.95363785796974,103.56578925710193,-1.0
-18337.717151640245,1182,-247.63033438984155,96.38397107528375,-1.0
-1268.4122085564595,1200,-408.7629226216234,112.56578925710193,-1.0
-663.0137443531712,1200,-619.2877156777982,111.8385165298292,-1.0
-2033.2171440108796,1200,-507.9918645897227,96.29306198437466,-9.363636363636363
-1508.9853669021686,1200,-586.2275268861393,103.9294256207383,-8.727272727272727
-1097.2440719588194,1200,-552.3255671308935,101.11124380255647,-9.363636363636363
2956.3442965627764,1199,-1081.532719061462,100.29306198437466,-11.0
1381.8108558657987,1200,-530.0833508291541,101.20215289346557,-13.363636363636363
2407.9874038705602,1199,-1089.6267873071215,127.47488016619285,-1.0
-1371.2855530487432,1200,-564.9314135052639,96.29306198437466,-9.909090909090908
17222.694396973762,1222,-738.4698090709182,115.20215289346557,-1.0
-1624.3290058407874,1200,-478.50585462107006,109.29306198437466,-9.363636363636363
-18215.118687564478,1177,-438.54300521737275,94.65669834801102,-9.363636363636363
-15275.486183164729,1182,-453.8352771808703,103.02033471164738,-1.0
-18976.258850096376,1177,-547.3717430253375,93.20215289346557,-1.0
-2580.055332183605,1200,-423.63814748727987,108.20215289346557,-1.0
-1554.378397811408,1200,-522.3176427450219,98.74760743892011,-6.909090909090909
-18938.6309651146,1182,-301.4734912388277,88.74760743892011,-3.8181818181818183
-4405.3167943118315,1200,-231.7955564531436,92.11124380255647,-8.727272727272727
-17528.639847966784,1182,-329.8421203565987,94.74760743892011,-4.363636363636363
-18940.657997129718,1182,-199.50632490082512,97.47488016619285,-1.0
-18458.433944594464,1177,-540.4810816530539,101.20215289346557,-1.0
-14752.984819417296,1177,-960.8517220826715,114.65669834801102,-11.0
9490.524922707758,1211,-652.422289863412,110.8385165298292,-3.3636363636363638
-2691.899259000871,1200,-564.5466599451455,96.20215289346557,-16.454545454545453
-1198.1028556818492,1200,-441.8006434295098,120.65669834801102,-1.0
-17074.513186646625,1177,-708.2203208063394,101.8385165298292,-1.0
-18345.43716574827,1182,-316.5059619589359,98.38397107528375,-3.3636363636363638
-2408.6809158316755,1200,-297.9259230618371,103.47488016619285,-17.727272727272727
-18568.541049956868,1182,-204.56070200460613,81.65669834801103,-9.363636363636363
-10146.160984037706,1185,-471.37232162480154,109.9294256207383,-9.636363636363637
