CMDLINE c:\users\kangyifei\appdata\local\programs\python\python37\python.exe test_simulation.py
MEM 0.375000 1593524302.6752
MEM 11.625000 1593524302.7759
MEM 17.320312 1593524302.8767
MEM 22.960938 1593524302.9774
MEM 27.097656 1593524303.0781
MEM 30.394531 1593524303.1789
MEM 36.445312 1593524303.2796
MEM 47.164062 1593524303.3803
MEM 47.796875 1593524303.4811
MEM 47.796875 1593524303.5818
MEM 47.796875 1593524303.6825
MEM 47.796875 1593524303.7832
MEM 47.812500 1593524303.8840
MEM 47.933594 1593524303.9847
MEM 52.210938 1593524304.0854
MEM 57.417969 1593524304.1862
MEM 57.417969 1593524304.2869
MEM 60.617188 1593524304.3876
MEM 66.746094 1593524304.4884
MEM 75.007812 1593524304.5891
MEM 79.542969 1593524304.6898
MEM 84.933594 1593524304.7905
MEM 85.125000 1593524304.8913
MEM 85.261719 1593524304.9920
MEM 85.539062 1593524305.0927
MEM 85.664062 1593524305.1935
MEM 85.835938 1593524305.2942
MEM 86.039062 1593524305.3950
MEM 86.261719 1593524305.4957
MEM 86.375000 1593524305.5964
MEM 86.574219 1593524305.6971
MEM 86.699219 1593524305.7979
MEM 86.882812 1593524305.8986
MEM 87.074219 1593524305.9993
MEM 87.324219 1593524306.1001
MEM 87.511719 1593524306.2008
MEM 87.699219 1593524306.3015
MEM 87.824219 1593524306.4022
MEM 88.011719 1593524306.5030
MEM 88.261719 1593524306.6037
MEM 88.449219 1593524306.7045
MEM 88.593750 1593524306.8052
MEM 88.824219 1593524306.9059
MEM 89.011719 1593524307.0066
MEM 89.199219 1593524307.1074
MEM 89.371094 1593524307.2081
MEM 89.574219 1593524307.3088
MEM 89.761719 1593524307.4096
MEM 89.949219 1593524307.5103
MEM 90.199219 1593524307.6110
MEM 90.335938 1593524307.7118
MEM 90.574219 1593524307.8125
MEM 90.761719 1593524307.9132
MEM 90.917969 1593524308.0139
MEM 91.109375 1593524308.1147
MEM 91.324219 1593524308.2154
MEM 91.511719 1593524308.3161
MEM 91.699219 1593524308.4169
MEM 91.871094 1593524308.5176
MEM 92.074219 1593524308.6183
MEM 92.261719 1593524308.7191
MEM 92.449219 1593524308.8198
MEM 92.625000 1593524308.9205
MEM 92.824219 1593524309.0213
MEM 93.011719 1593524309.1220
MEM 93.199219 1593524309.2227
MEM 93.359375 1593524309.3235
MEM 93.574219 1593524309.4242
MEM 93.761719 1593524309.5249
MEM 93.949219 1593524309.6256
MEM 94.199219 1593524309.7264
MEM 94.328125 1593524309.8271
MEM 94.574219 1593524309.9278
MEM 94.761719 1593524310.0286
MEM 94.914062 1593524310.1293
MEM 95.093750 1593524310.2300
MEM 95.324219 1593524310.3307
MEM 95.511719 1593524310.4315
MEM 95.699219 1593524310.5322
MEM 95.832031 1593524310.6329
MEM 96.011719 1593524310.7337
MEM 96.199219 1593524310.8344
MEM 96.359375 1593524310.9351
MEM 96.574219 1593524311.0358
MEM 99.804688 1593524311.1366
MEM 104.710938 1593524311.2373
MEM 97.523438 1593524311.3380
MEM 99.410156 1593524311.4388
MEM 100.480469 1593524311.5395
MEM 101.671875 1593524311.6403
MEM 101.988281 1593524311.7410
MEM 102.312500 1593524311.8417
MEM 102.738281 1593524311.9424
MEM 102.992188 1593524312.0432
MEM 102.988281 1593524312.1439
MEM 104.109375 1593524312.2446
MEM 105.421875 1593524312.3453
MEM 105.683594 1593524312.4461
MEM 105.812500 1593524312.5468
MEM 106.273438 1593524312.6476
MEM 106.769531 1593524312.7483
MEM 107.023438 1593524312.8490
MEM 107.148438 1593524312.9498
MEM 107.273438 1593524313.0505
MEM 107.738281 1593524313.1512
MEM 108.679688 1593524313.2519
MEM 109.429688 1593524313.3527
MEM 109.632812 1593524313.4534
MEM 110.011719 1593524313.5541
MEM 110.199219 1593524313.6549
MEM 110.699219 1593524313.7556
MEM 111.203125 1593524313.8563
MEM 111.453125 1593524313.9570
MEM 111.820312 1593524314.0578
MEM 112.285156 1593524314.1585
MEM 112.410156 1593524314.2593
MEM 112.472656 1593524314.3600
MEM 112.914062 1593524314.4607
MEM 112.976562 1593524314.5614
MEM 113.226562 1593524314.6621
MEM 113.589844 1593524314.7629
MEM 113.980469 1593524314.8636
MEM 114.101562 1593524314.9644
MEM 114.292969 1593524315.0651
MEM 114.562500 1593524315.1658
MEM 114.988281 1593524315.2665
MEM 115.050781 1593524315.3673
MEM 115.175781 1593524315.4680
MEM 115.238281 1593524315.5687
MEM 115.679688 1593524315.6695
MEM 115.804688 1593524315.7702
MEM 115.804688 1593524315.8709
MEM 116.054688 1593524315.9716
MEM 116.089844 1593524316.0724
MEM 116.433594 1593524316.1731
MEM 116.496094 1593524316.2738
MEM 116.871094 1593524316.3746
MEM 117.140625 1593524316.4753
MEM 117.375000 1593524316.5761
MEM 117.394531 1593524316.6768
MEM 117.441406 1593524316.7775
MEM 117.777344 1593524316.8782
MEM 117.902344 1593524316.9789
MEM 117.964844 1593524317.0797
MEM 117.964844 1593524317.1804
MEM 118.343750 1593524317.2811
MEM 118.449219 1593524317.3819
MEM 118.511719 1593524317.4826
MEM 118.636719 1593524317.5834
MEM 118.699219 1593524317.6841
MEM 118.785156 1593524317.7848
MEM 118.886719 1593524317.8855
MEM 119.203125 1593524317.9863
MEM 119.203125 1593524318.0870
MEM 119.265625 1593524318.1877
MEM 119.269531 1593524318.2884
MEM 119.769531 1593524318.3892
MEM 119.769531 1593524318.4899
MEM 120.082031 1593524318.5906
MEM 120.292969 1593524318.6914
MEM 120.636719 1593524318.7921
MEM 120.667969 1593524318.8929
MEM 120.777344 1593524318.9936
MEM 120.839844 1593524319.0943
MEM 120.871094 1593524319.1950
MEM 121.109375 1593524319.2958
MEM 121.902344 1593524319.3965
MEM 121.906250 1593524319.4972
MEM 122.355469 1593524319.5980
MEM 122.617188 1593524319.6987
MEM 122.703125 1593524319.7994
MEM 122.734375 1593524319.9001
MEM 122.820312 1593524320.0009
MEM 122.945312 1593524320.1016
MEM 123.000000 1593524320.2024
MEM 123.160156 1593524320.3031
MEM 123.347656 1593524320.4038
MEM 123.359375 1593524320.5045
MEM 123.410156 1593524320.6052
MEM 123.472656 1593524320.7060
MEM 123.726562 1593524320.8067
MEM 123.789062 1593524320.9074
MEM 123.789062 1593524321.0082
MEM 123.851562 1593524321.1089
MEM 123.906250 1593524321.2097
MEM 124.039062 1593524321.3104
MEM 124.359375 1593524321.4111
MEM 124.398438 1593524321.5119
MEM 124.546875 1593524321.6126
MEM 124.609375 1593524321.7133
MEM 124.734375 1593524321.8140
MEM 124.796875 1593524321.9148
MEM 124.859375 1593524322.0155
MEM 124.882812 1593524322.1162
MEM 125.253906 1593524322.2170
MEM 125.378906 1593524322.3177
MEM 125.628906 1593524322.4184
MEM 125.753906 1593524322.5191
MEM 125.878906 1593524322.6199
MEM 126.140625 1593524322.7206
MEM 126.265625 1593524322.8213
MEM 126.328125 1593524322.9221
MEM 126.390625 1593524323.0228
MEM 126.453125 1593524323.1235
MEM 126.902344 1593524323.2243
MEM 127.027344 1593524323.3250
MEM 127.089844 1593524323.4257
MEM 127.152344 1593524323.5264
MEM 127.402344 1593524323.6272
MEM 127.695312 1593524323.7279
MEM 127.777344 1593524323.8286
MEM 127.843750 1593524323.9294
MEM 127.906250 1593524324.0301
MEM 127.929688 1593524324.1308
MEM 128.031250 1593524324.2315
MEM 128.347656 1593524324.3323
MEM 128.429688 1593524324.4330
MEM 128.523438 1593524324.5337
MEM 128.660156 1593524324.6345
MEM 128.785156 1593524324.7352
MEM 129.035156 1593524324.8359
MEM 129.191406 1593524324.9367
MEM 129.285156 1593524325.0374
MEM 129.347656 1593524325.1382
MEM 129.597656 1593524325.2389
MEM 129.914062 1593524325.3396
MEM 129.953125 1593524325.4403
MEM 130.050781 1593524325.5410
MEM 130.050781 1593524325.6418
MEM 130.113281 1593524325.7425
MEM 130.175781 1593524325.8432
MEM 130.175781 1593524325.9440
MEM 130.324219 1593524326.0447
MEM 130.386719 1593524326.1454
MEM 130.449219 1593524326.2462
MEM 130.828125 1593524326.3469
MEM 130.828125 1593524326.4476
MEM 130.828125 1593524326.5484
MEM 130.890625 1593524326.6491
MEM 130.890625 1593524326.7498
MEM 130.890625 1593524326.8506
MEM 131.050781 1593524326.9513
MEM 131.050781 1593524327.0520
MEM 131.050781 1593524327.1527
MEM 131.085938 1593524327.2535
MEM 131.085938 1593524327.3542
MEM 131.105469 1593524327.4549
MEM 131.121094 1593524327.5557
MEM 131.394531 1593524327.6564
MEM 131.414062 1593524327.7571
MEM 131.433594 1593524327.8579
MEM 131.527344 1593524327.9586
MEM 131.527344 1593524328.0593
MEM 131.589844 1593524328.1600
MEM 131.589844 1593524328.2608
MEM 131.843750 1593524328.3615
MEM 131.855469 1593524328.4623
MEM 131.875000 1593524328.5630
MEM 131.898438 1593524328.6637
MEM 131.968750 1593524328.7645
MEM 131.968750 1593524328.8652
MEM 131.968750 1593524328.9659
MEM 132.285156 1593524329.0666
MEM 132.285156 1593524329.1673
MEM 132.285156 1593524329.3309
MEM 132.285156 1593524329.4316
MEM 132.285156 1593524329.5324
