total_energy_consume,total_called_num,total_reward,average_completion,average_waitting_time
16542.09165573158,1222,-570.4634536695469,90.20215289346558,-1.0
-15326.335898810677,1177,-571.164208257318,101.47488016619285,-1.0
15271.848392487533,1219,-475.5259917969694,111.20215289346555,-31.0
1041.6872978217725,1200,-956.055681427406,111.20215289346557,-11.0
-40120.090443998546,1141,-561.4676426548892,93.02033471164738,-1.0
-25439.156341551716,1159,-933.9894296642507,137.1112438025565,-9.363636363636363
-18497.37825393572,1177,-515.870214768528,88.47488016619285,-1.0
-26561.132845770568,1159,-518.6240123482863,103.47488016619285,-1.0
-16830.479621886247,1177,-506.3174900217066,91.56578925710193,-1.0
-17667.11740493664,1177,-262.6140265417022,88.11124380255647,-4.363636363636363
-15913.689708709426,1177,-531.4462749747407,88.47488016619285,-4.363636363636363
-44888.435268400994,1137,-450.63199985523795,80.29306198437467,-7.7272727272727275
-44809.58775531384,1137,-280.010533693307,83.83851652982922,-1.0
-11541.210079192359,1185,-386.8875060907584,87.02033471164738,-1.0
-15137.115955351852,1177,-720.9209488521208,92.02033471164738,-1.0
-18706.712625077693,1177,-237.51769422275765,101.74760743892011,-1.0
-15039.643764495442,1177,-349.22859269801927,82.74760743892011,-4.545454545454546
-13521.9354629507,1177,-318.57547058285365,81.47488016619285,-1.0
-17781.120300291514,1177,-272.37485525399654,88.02033471164738,-1.0
-16395.430139870266,1177,-274.1507684876343,84.47488016619285,-4.545454545454546
-17455.713272093795,1177,-207.64615404772178,79.11124380255649,-8.727272727272727
-16623.90060083702,1177,-282.94646201576757,85.11124380255649,-4.363636363636363
-2536.291306371364,1200,-181.0295206697499,102.11124380255646,-20.636363636363637
-18358.927843941114,1177,-484.64741250043085,115.9294256207383,-7.7272727272727275
-35617.70247053134,1149,-597.7126500319748,89.38397107528375,-11.090909090909092
-16354.848289489077,1177,-435.531074759425,83.74760743892011,-7.7272727272727275
-17058.970069884643,1177,-371.7038774262013,103.8385165298292,-3.0
-12669.771049456001,1182,-293.7077808254228,108.47488016619282,-1.0
-17713.820171355823,1177,-356.8548329273127,98.20215289346557,-4.545454545454546
-16101.387119292165,1182,-194.4818672897734,83.38397107528375,-7.7272727272727275
-20336.351680755062,1177,-229.47943383096538,95.65669834801102,-3.3636363636363638
-16922.458076476003,1177,-283.3773802141435,93.56578925710193,-6.181818181818182
-16467.806175901293,1177,-386.31502003731805,103.02033471164737,-9.363636363636363
-14559.072303771507,1177,-297.15284388615726,106.56578925710193,-1.0
-16743.22900771958,1182,-183.73874618589127,99.65669834801102,-17.818181818181817
-18120.388126372447,1177,-381.5520462963008,104.20215289346557,-6.7272727272727275
-17413.66796493504,1177,-444.11067509445616,87.9294256207383,-4.363636363636363
-26965.971749181044,1165,-671.7210907889056,85.20215289346557,-6.363636363636363
-18747.548389434087,1177,-536.0592393005942,103.47488016619285,-1.0
-19954.872989771568,1177,-231.42868281071117,87.47488016619285,-11.727272727272727
