total_energy_consume,total_called_num,total_reward,average_completion,average_waitting_time
-41224.34978485067,1137,-136.5413084766518,77.02033471164738,-1.0
-25034.33122366373,1159,-560.987910796319,99.11124380255647,-3.3636363636363638
-39464.79063033927,1137,-1075.1857903213158,132.7476074389201,-22.727272727272727
-39908.14373058558,1137,-1006.4953270557854,113.9294256207383,-27.818181818181817
4236.700012896938,1200,-802.5957836679598,103.11124380255647,-41.0
2792.6502227797464,1200,-1083.9145237405223,117.56578925710193,-1.0
3231.482268018095,1200,-783.5292670283239,113.11124380255647,-31.0
11608.783721925138,1208,-901.9048363693482,119.47488016619285,-31.0
586.3059860401845,1200,-686.3325972591261,107.47488016619285,-41.72727272727273
-40338.00074067959,1137,-1132.5899417740825,130.7476074389201,-11.0
75.10593413206516,1200,-589.9371366296707,113.92942562073827,-26.09090909090909
-12617.838891575171,1182,-799.0452151545009,103.11124380255646,-19.363636363636363
-263.0061149584362,1200,-488.00213621585476,95.56578925710193,-44.45454545454545
-205.96046447686967,1200,-468.48759637310854,102.7476074389201,-17.727272727272727
-12810.111522674124,1182,-561.3991467688659,100.65669834801102,-29.363636363636363
1357.2512626649695,1200,-710.5885584724134,129.56578925710193,-23.636363636363637
-12770.572757720918,1182,-598.7167755371634,102.29306198437466,-36.09090909090909
-10245.8930570074,1182,-809.2671147396541,126.38397107528375,-9.363636363636363
-10365.719503696688,1182,-556.5969032118954,104.83851652982918,-27.727272727272727
-13315.313486428553,1182,-328.31784511430203,95.47488016619285,-3.3636363636363638
-9818.384850388917,1182,-584.5980483176005,94.74760743892011,-1.0
-10575.109577177587,1182,-249.26050778663193,98.56578925710193,-12.727272727272727
-10740.110492705338,1182,-317.12322455040317,98.56578925710193,-12.727272727272727
-9924.904826104059,1182,-438.0794800272139,107.38397107528372,-4.363636363636363
-9502.969731434714,1182,-936.1979131913622,108.83851652982918,-26.454545454545453
17903.906011553714,1219,-997.2527397342781,114.47488016619282,-28.454545454545453
17635.154342652066,1221,-882.058403355156,117.7476074389201,-21.09090909090909
13463.905840486754,1219,-644.3442187145978,88.74760743892011,-1.0
9254.977512360405,1213,-849.3471017223402,100.29306198437466,-3.3636363636363638
16582.25784301752,1222,-511.47237757304947,100.29306198437466,-4.363636363636363
13736.208915711002,1219,-604.4033735672855,95.9294256207383,-1.0
14117.76523590082,1219,-705.9409324491072,87.20215289346558,-4.363636363636363
15940.353311728104,1222,-604.8685695946987,96.65669834801102,-1.0
-23913.150378685386,1163,-1219.1696180972567,109.38397107528375,-1.0
13872.237961587787,1219,-589.915874713788,93.56578925710193,-3.3636363636363638
16301.55961072215,1221,-692.5427512128235,96.56578925710193,-4.363636363636363
-42496.27761840724,1137,-833.507929588831,110.02033471164738,-8.090909090909092
15101.276645284466,1219,-967.0201214658604,112.02033471164738,-1.0
17909.62057113697,1222,-835.2841203158991,113.74760743892011,-4.363636363636363
-24211.225122137286,1163,-1067.42163418451,100.29306198437466,-1.0
17323.449039459287,1222,-837.0840893741654,101.02033471164738,-1.0
-42842.80843734654,1137,-594.1095930398228,96.11124380255647,-1.0
-12195.584964751673,1182,-38.24326798182301,82.8385165298292,-1.0
-29500.013174362393,1159,-157.3069427177619,79.47488016619285,-3.3636363636363638
-41399.85094070365,1137,-1050.052192864539,107.74760743892011,-21.363636363636363
-25247.4296284132,1159,-1063.1172257806197,107.11124380255647,-13.0
-25829.251098632143,1159,-1412.7034783749775,107.11124380255647,-1.0
-23569.250580963126,1163,-933.5441196518073,102.20215289346557,-13.0
6406.246089935681,1208,-439.9205326409825,94.11124380255647,-4.363636363636363
