total_energy_consume,total_called_num,total_reward,average_completion,average_waitting_time
-135.61731073571718,1200,-364.368553226445,88.65669834801103,-1.0
1709.535026552243,1200,-189.38564637651916,92.8385165298292,-1.0
18532.273578644264,1221,-831.4056859874369,97.02033471164738,-4.545454545454546
144.71511840852327,1200,-405.17125570449116,85.83851652982922,-3.8181818181818183
-24932.581901549827,1159,-1228.174483559365,101.9294256207383,-11.545454545454545
-40357.287597655406,1141,-783.8124221463762,108.11124380255647,-11.0
-12154.289245604305,1177,-1028.2601595023914,111.38397107528375,-24.363636363636363
-8640.468120574835,1188,-532.4599763690366,96.11124380255647,-3.3636363636363638
-12787.038631509116,1177,-1023.0525170785552,91.74760743892011,-26.363636363636363
3.810882568533998,1200,-564.5419706874303,100.8385165298292,-2.0
-33.52718353146338,1200,-607.248474490931,96.38397107528375,-1.0
1206.1093193817942,1200,-619.8278222188098,92.8385165298292,-4.545454545454546
-10386.83338576663,1186,-567.7059877172128,92.74760743892011,-1.0
-25185.13228146106,1166,-639.2577854079271,87.38397107528375,-6.363636363636363
-34022.5441932668,1153,-303.54974013041647,81.29306198437467,-4.545454545454546
-1151.4767646785185,1200,-515.8650669771506,107.47488016619285,-1.0
-1245.9368705747474,1200,-459.9231534782176,94.02033471164738,-1.0
-1391.5994781902118,1200,-355.0223862354229,92.0203347116474,-1.0
3286.348628998123,1200,-689.5333124067017,91.65669834801103,-1.0
644.9438084517315,1200,-242.64931777202844,86.11124380255649,-4.545454545454546
-35433.11061859032,1149,-350.4434027399411,81.65669834801103,-4.363636363636363
16555.769963889878,1221,-296.90997794822795,85.20215289346558,-7.363636363636363
-27612.546163322433,1159,-461.01715013839157,79.56578925710194,-7.909090909090909
-35231.2811851493,1149,-395.18100362693804,85.0203347116474,-1.0
-28123.40755462504,1159,-511.8396836858627,83.65669834801103,-3.3636363636363638
-36016.55302047625,1149,-217.13281809792738,81.65669834801103,-4.363636363636363
-9824.343268553173,1188,-443.18116805907084,95.74760743892011,-6.7272727272727275
-36693.26237593594,1149,-393.8477692689345,83.02033471164738,-6.363636363636363
-34664.28966522144,1149,-915.1571702124509,110.8385165298292,-6.363636363636363
1021.956010489841,1200,-962.2903388363058,102.8385165298292,-1.0
-6551.5432739491225,1186,-1095.9072051379678,114.56578925710193,-1.0
-14964.900112151401,1180,-918.6455326045258,91.74760743892011,-9.727272727272727
2611.821842193429,1200,-700.8818494510746,121.47488016619285,-21.0
-6962.569141386746,1186,-650.7492172033453,91.47488016619285,-18.454545454545453
-7831.120204925333,1186,-647.6949958678829,108.9294256207383,-1.0
-35187.13524963122,1149,-544.1009056662137,85.02033471164738,-6.363636363636363
-23843.35899352946,1166,-447.37933626698896,93.9294256207383,-1.0
-35090.20700454671,1149,-383.1285135373188,89.02033471164738,-4.363636363636363
-43821.14835199804,1137,-564.8628084698014,97.11124380255647,-1.0
-27622.688484190847,1159,-793.2288076583781,87.38397107528375,-6.363636363636363
-27791.332626342017,1159,-858.9080603476149,90.11124380255647,-6.363636363636363
-27725.535856116476,1159,-867.3656451133184,93.47488016619285,-6.363636363636363
-27255.792045592214,1159,-1114.4760039607518,84.0203347116474,-1.0
-27050.08606233602,1159,-835.8234855605054,85.8385165298292,-1.0
-16096.648693083262,1174,-443.8894017924347,98.20215289346557,-3.3636363636363638
-27475.8733749378,1159,-1312.3693904422003,97.38397107528375,-6.363636363636363
-26118.834114074038,1159,-974.2550303060475,129.8385165298292,-21.727272727272727
-25804.36706542928,1159,-943.6849757002892,97.47488016619285,-43.0
-25883.772967231198,1159,-950.2065114785148,115.38397107528375,-26.454545454545453
-25744.915294646344,1159,-1142.3290487047072,117.38397107528375,-4.363636363636363
-27224.501434095087,1159,-994.417672898766,110.11124380255647,-11.0
-27024.075229576876,1159,-738.9156310011598,82.29306198437466,-4.545454545454546
-27479.456806182017,1159,-1058.1142830279823,84.02033471164738,-3.8181818181818183
-27632.246017454483,1159,-1400.012305728803,100.11124380255647,-1.0
-26921.02775573649,1159,-1005.0574360185102,89.20215289346557,-1.0
-27086.43150329491,1159,-1561.8085088487699,98.65669834801102,-1.0
-27451.35955810483,1159,-1083.6182701235357,92.47488016619285,-10.090909090909092
-14899.899562574283,1174,-914.2512939543865,116.8385165298292,-18.363636363636363
-26154.5697212207,1159,-1061.838298375288,110.11124380255647,-21.363636363636363
-27143.668556212244,1159,-1015.2335195865008,99.11124380255647,-1.0
-26697.314643859077,1159,-879.5570106898839,95.47488016619285,-1.0
