CMDLINE c:\users\kangyifei\appdata\local\programs\python\python37\python.exe test_simulation.py
MEM 276.019531 1593524290.0945
MEM 276.050781 1593524290.1953
MEM 276.121094 1593524290.2960
MEM 276.121094 1593524290.3967
MEM 276.382812 1593524290.4974
MEM 276.386719 1593524290.5982
MEM 276.714844 1593524290.6989
MEM 276.777344 1593524290.7996
MEM 276.777344 1593524290.9004
MEM 276.785156 1593524291.0011
MEM 276.796875 1593524291.1018
MEM 276.816406 1593524291.2026
MEM 276.828125 1593524291.3033
MEM 276.902344 1593524291.4040
MEM 276.902344 1593524291.5048
MEM 276.964844 1593524291.6055
MEM 277.027344 1593524291.7062
MEM 277.027344 1593524291.8070
MEM 277.042969 1593524291.9077
MEM 277.070312 1593524292.0084
MEM 277.410156 1593524292.1091
MEM 277.410156 1593524292.2099
MEM 277.410156 1593524292.3106
MEM 277.535156 1593524292.4113
MEM 278.042969 1593524292.5121
MEM 278.074219 1593524292.6128
