CMDLINE c:\users\kangyifei\appdata\local\programs\python\python37\python.exe test_simulation.py
MEM 0.468750 1593524243.4553
MEM 11.777344 1593524243.5560
MEM 17.386719 1593524243.6567
MEM 23.160156 1593524243.7575
MEM 27.414062 1593524243.8582
MEM 30.617188 1593524243.9589
MEM 36.382812 1593524244.0596
MEM 47.062500 1593524244.1604
MEM 47.750000 1593524244.2611
MEM 47.750000 1593524244.3618
MEM 47.750000 1593524244.4626
MEM 47.820312 1593524244.5633
MEM 47.429688 1593524244.6640
MEM 50.968750 1593524244.7648
MEM 57.375000 1593524244.8655
MEM 57.464844 1593524244.9662
MEM 57.464844 1593524245.0670
MEM 57.464844 1593524245.1677
MEM 58.238281 1593524245.2684
MEM 63.917969 1593524245.3691
MEM 71.117188 1593524245.4699
MEM 77.707031 1593524245.5706
MEM 83.949219 1593524245.6713
MEM 110.265625 1593524245.7721
MEM 112.839844 1593524245.8728
MEM 112.839844 1593524245.9736
MEM 112.996094 1593524246.0743
MEM 120.738281 1593524246.1750
MEM 127.847656 1593524246.2757
MEM 136.476562 1593524246.3765
MEM 144.925781 1593524246.4772
MEM 150.359375 1593524246.5779
MEM 152.121094 1593524246.6786
MEM 156.441406 1593524246.7794
MEM 160.632812 1593524246.8801
MEM 166.187500 1593524246.9808
MEM 169.285156 1593524247.0816
MEM 172.371094 1593524247.1823
MEM 175.394531 1593524247.2830
MEM 179.515625 1593524247.3838
MEM 184.972656 1593524247.4845
MEM 188.296875 1593524247.5852
MEM 193.355469 1593524247.6860
MEM 198.660156 1593524247.7867
MEM 203.011719 1593524247.8874
MEM 205.792969 1593524247.9881
MEM 208.535156 1593524248.0889
MEM 209.082031 1593524248.1896
MEM 210.742188 1593524248.2903
MEM 211.425781 1593524248.3911
MEM 211.738281 1593524248.4918
MEM 216.535156 1593524248.5925
MEM 216.722656 1593524248.6933
MEM 216.863281 1593524248.7940
MEM 217.113281 1593524248.8948
MEM 217.300781 1593524248.9955
MEM 217.398438 1593524249.0962
MEM 217.613281 1593524249.1969
MEM 217.800781 1593524249.2977
MEM 218.019531 1593524249.3984
MEM 218.179688 1593524249.4991
MEM 218.394531 1593524249.5998
MEM 218.519531 1593524249.7006
MEM 218.695312 1593524249.8013
MEM 218.894531 1593524249.9021
MEM 219.082031 1593524250.0028
MEM 219.269531 1593524250.1035
MEM 219.421875 1593524250.2042
MEM 219.644531 1593524250.3050
MEM 219.832031 1593524250.4057
MEM 220.019531 1593524250.5064
MEM 220.183594 1593524250.6071
MEM 220.394531 1593524250.7079
MEM 220.582031 1593524250.8086
MEM 220.769531 1593524250.9094
MEM 220.917969 1593524251.0101
MEM 221.082031 1593524251.1108
MEM 221.269531 1593524251.2116
MEM 221.421875 1593524251.3123
MEM 221.582031 1593524251.4130
MEM 221.769531 1593524251.5137
MEM 221.902344 1593524251.6145
MEM 222.144531 1593524251.7152
MEM 222.269531 1593524251.8159
MEM 222.449219 1593524251.9167
MEM 222.644531 1593524252.0174
MEM 222.832031 1593524252.1181
MEM 223.019531 1593524252.2188
MEM 223.179688 1593524252.3196
MEM 223.394531 1593524252.4203
MEM 223.582031 1593524252.5211
MEM 223.769531 1593524252.6218
MEM 223.906250 1593524252.7225
MEM 224.144531 1593524252.8232
MEM 224.332031 1593524252.9240
MEM 224.519531 1593524253.0247
MEM 224.648438 1593524253.1254
MEM 224.832031 1593524253.2261
MEM 224.949219 1593524253.3269
MEM 225.082031 1593524253.4276
MEM 225.082031 1593524253.5283
MEM 225.269531 1593524253.6291
MEM 225.332031 1593524253.7298
MEM 225.519531 1593524253.8305
MEM 225.656250 1593524253.9313
MEM 225.832031 1593524254.0320
MEM 225.953125 1593524254.1327
MEM 226.082031 1593524254.2334
MEM 226.191406 1593524254.3342
MEM 226.394531 1593524254.4349
MEM 226.519531 1593524254.5357
MEM 226.652344 1593524254.6364
MEM 226.832031 1593524254.7371
MEM 227.019531 1593524254.8378
MEM 227.167969 1593524254.9386
MEM 227.394531 1593524255.0393
MEM 227.582031 1593524255.1400
MEM 227.691406 1593524255.2408
MEM 227.894531 1593524255.3415
MEM 228.082031 1593524255.4422
MEM 231.593750 1593524255.5429
MEM 236.035156 1593524255.6437
MEM 229.816406 1593524255.7444
MEM 230.929688 1593524255.8451
MEM 231.804688 1593524255.9459
MEM 232.613281 1593524256.0466
MEM 232.796875 1593524256.1474
MEM 233.367188 1593524256.2481
MEM 233.476562 1593524256.3488
MEM 233.746094 1593524256.4495
MEM 234.000000 1593524256.5503
MEM 235.316406 1593524256.6510
MEM 236.628906 1593524256.7517
MEM 237.132812 1593524256.8525
MEM 237.265625 1593524256.9532
MEM 237.851562 1593524257.0539
MEM 238.164062 1593524257.1547
MEM 238.171875 1593524257.2554
MEM 238.253906 1593524257.3561
MEM 238.464844 1593524257.4568
MEM 239.031250 1593524257.5576
MEM 239.972656 1593524257.6583
MEM 240.472656 1593524257.7590
MEM 241.128906 1593524257.8598
MEM 241.343750 1593524257.9605
MEM 241.472656 1593524258.0612
MEM 241.992188 1593524258.1620
MEM 242.246094 1593524258.2627
MEM 242.808594 1593524258.3634
MEM 243.164062 1593524258.4642
MEM 243.312500 1593524258.5649
MEM 243.390625 1593524258.6656
MEM 243.753906 1593524258.7663
MEM 243.878906 1593524258.8670
MEM 243.933594 1593524258.9678
MEM 244.429688 1593524259.0685
MEM 244.882812 1593524259.1693
MEM 245.007812 1593524259.2700
MEM 245.070312 1593524259.3707
MEM 245.257812 1593524259.4714
MEM 245.539062 1593524259.5722
MEM 245.812500 1593524259.6729
MEM 246.058594 1593524259.7737
MEM 246.121094 1593524259.8744
MEM 246.339844 1593524259.9751
MEM 246.500000 1593524260.0758
MEM 246.687500 1593524260.1766
MEM 247.003906 1593524260.2773
MEM 247.253906 1593524260.3780
MEM 247.316406 1593524260.4787
MEM 247.335938 1593524260.5795
MEM 247.363281 1593524260.6802
MEM 247.820312 1593524260.7810
MEM 248.007812 1593524260.8817
MEM 248.070312 1593524260.9824
MEM 248.261719 1593524261.0831
MEM 248.542969 1593524261.1839
MEM 248.574219 1593524261.2846
MEM 248.613281 1593524261.3853
MEM 248.699219 1593524261.4860
MEM 248.761719 1593524261.5868
MEM 249.078125 1593524261.6875
MEM 249.203125 1593524261.7883
MEM 249.265625 1593524261.8890
MEM 249.328125 1593524261.9897
MEM 249.453125 1593524262.0905
MEM 249.832031 1593524262.1912
MEM 249.851562 1593524262.2919
MEM 249.894531 1593524262.3926
MEM 249.957031 1593524262.4933
MEM 250.210938 1593524262.5941
MEM 250.335938 1593524262.6948
MEM 250.523438 1593524262.7956
MEM 250.585938 1593524262.8963
MEM 251.277344 1593524262.9970
MEM 251.339844 1593524263.0978
MEM 251.351562 1593524263.1985
MEM 251.464844 1593524263.2992
MEM 251.781250 1593524263.4000
MEM 252.031250 1593524263.5007
MEM 252.531250 1593524263.6014
MEM 252.972656 1593524263.7021
MEM 253.097656 1593524263.8028
MEM 253.226562 1593524263.9036
MEM 253.289062 1593524264.0043
MEM 253.640625 1593524264.1050
MEM 253.738281 1593524264.2058
MEM 253.960938 1593524264.3065
MEM 254.000000 1593524264.4073
MEM 254.085938 1593524264.5080
MEM 254.148438 1593524264.6087
MEM 254.210938 1593524264.7095
MEM 254.238281 1593524264.8102
MEM 254.539062 1593524264.9109
MEM 254.617188 1593524265.0116
MEM 254.718750 1593524265.1124
MEM 254.886719 1593524265.2131
MEM 254.945312 1593524265.3138
MEM 255.097656 1593524265.4146
MEM 255.214844 1593524265.5153
MEM 255.339844 1593524265.6160
MEM 255.480469 1593524265.7168
MEM 255.539062 1593524265.8175
MEM 255.863281 1593524265.9182
MEM 255.925781 1593524266.0189
MEM 255.988281 1593524266.1197
MEM 256.113281 1593524266.2204
MEM 256.257812 1593524266.3211
MEM 256.437500 1593524266.4219
MEM 256.511719 1593524266.5226
MEM 256.691406 1593524266.6233
MEM 256.945312 1593524266.7241
MEM 257.070312 1593524266.8248
MEM 257.375000 1593524266.9255
MEM 257.437500 1593524267.0262
MEM 257.714844 1593524267.1270
MEM 257.839844 1593524267.2277
MEM 257.964844 1593524267.3284
MEM 258.089844 1593524267.4291
MEM 258.273438 1593524267.5299
MEM 258.714844 1593524267.6306
MEM 258.761719 1593524267.7314
MEM 258.878906 1593524267.8321
MEM 258.953125 1593524267.9328
MEM 259.015625 1593524268.0335
MEM 259.070312 1593524268.1343
MEM 259.207031 1593524268.2350
MEM 259.281250 1593524268.3358
MEM 259.406250 1593524268.4365
MEM 259.468750 1593524268.5372
MEM 259.558594 1593524268.6379
MEM 260.019531 1593524268.7387
MEM 260.246094 1593524268.8394
MEM 260.265625 1593524268.9401
MEM 260.566406 1593524269.0408
MEM 260.632812 1593524269.1416
MEM 260.875000 1593524269.2423
MEM 260.953125 1593524269.3431
MEM 261.078125 1593524269.4438
MEM 261.128906 1593524269.5445
MEM 261.203125 1593524269.6452
MEM 261.203125 1593524269.7460
MEM 261.265625 1593524269.8467
MEM 261.367188 1593524269.9474
MEM 261.417969 1593524270.0481
MEM 261.515625 1593524270.1489
MEM 261.578125 1593524270.2496
MEM 261.640625 1593524270.3503
MEM 261.648438 1593524270.4511
MEM 261.671875 1593524270.5518
MEM 261.765625 1593524270.6525
MEM 261.968750 1593524270.7533
MEM 261.968750 1593524270.8540
MEM 262.031250 1593524270.9547
MEM 262.281250 1593524271.0555
MEM 262.285156 1593524271.1562
MEM 262.347656 1593524271.2569
MEM 262.347656 1593524271.3576
MEM 262.347656 1593524271.4584
MEM 262.351562 1593524271.5591
MEM 262.394531 1593524271.6599
MEM 262.726562 1593524271.7606
MEM 262.726562 1593524271.8613
MEM 262.789062 1593524271.9621
MEM 262.789062 1593524272.0628
MEM 262.789062 1593524272.1635
MEM 262.812500 1593524272.2642
MEM 263.085938 1593524272.3650
MEM 263.105469 1593524272.4657
MEM 263.121094 1593524272.5664
MEM 263.140625 1593524272.6671
MEM 263.152344 1593524272.7679
MEM 263.164062 1593524272.8686
MEM 263.230469 1593524272.9693
MEM 263.488281 1593524273.0701
MEM 263.488281 1593524273.1708
MEM 263.488281 1593524273.2715
MEM 263.550781 1593524273.3723
MEM 263.585938 1593524273.4730
MEM 263.585938 1593524273.5737
MEM 263.648438 1593524273.6744
MEM 263.648438 1593524273.7752
MEM 263.898438 1593524273.8759
MEM 263.910156 1593524273.9767
MEM 263.933594 1593524274.0774
MEM 264.023438 1593524274.1781
MEM 264.023438 1593524274.2788
MEM 264.023438 1593524274.3796
MEM 264.335938 1593524274.4803
MEM 264.339844 1593524274.5810
MEM 264.339844 1593524274.6817
MEM 264.527344 1593524274.7825
MEM 264.527344 1593524274.8832
MEM 264.589844 1593524274.9839
MEM 264.695312 1593524275.0847
MEM 264.777344 1593524275.1854
MEM 264.902344 1593524275.2862
MEM 264.960938 1593524275.3869
MEM 265.089844 1593524275.4876
MEM 265.187500 1593524275.5884
MEM 265.277344 1593524275.6891
MEM 265.664062 1593524275.7898
MEM 265.699219 1593524275.8905
MEM 265.781250 1593524275.9912
MEM 265.843750 1593524276.0920
MEM 265.843750 1593524276.1927
MEM 265.906250 1593524276.2934
MEM 266.031250 1593524276.3942
MEM 266.031250 1593524276.4949
MEM 266.093750 1593524276.5957
MEM 266.097656 1593524276.6964
MEM 266.343750 1593524276.7971
MEM 266.406250 1593524276.8978
MEM 266.535156 1593524276.9986
MEM 266.722656 1593524277.0993
MEM 267.082031 1593524277.2000
MEM 267.179688 1593524277.3007
MEM 267.242188 1593524277.4015
MEM 267.429688 1593524277.5022
MEM 267.492188 1593524277.6029
MEM 267.554688 1593524277.7037
MEM 267.578125 1593524277.8044
MEM 267.679688 1593524277.9052
MEM 267.742188 1593524278.0059
MEM 267.804688 1593524278.1066
MEM 267.824219 1593524278.2073
MEM 267.929688 1593524278.3081
MEM 267.929688 1593524278.4088
MEM 267.992188 1593524278.5095
MEM 268.054688 1593524278.6103
MEM 268.054688 1593524278.7110
MEM 268.414062 1593524278.8117
MEM 268.539062 1593524278.9125
MEM 268.542969 1593524279.0132
MEM 268.632812 1593524279.1139
MEM 268.718750 1593524279.2146
MEM 268.757812 1593524279.3154
MEM 268.781250 1593524279.4161
MEM 268.871094 1593524279.5168
MEM 268.871094 1593524279.6176
MEM 268.933594 1593524279.7183
MEM 268.933594 1593524279.8190
MEM 269.121094 1593524279.9198
MEM 269.183594 1593524280.0205
MEM 269.183594 1593524280.1212
MEM 269.246094 1593524280.2220
MEM 269.308594 1593524280.3227
MEM 269.371094 1593524280.4234
MEM 269.382812 1593524280.5241
MEM 269.382812 1593524280.6249
MEM 269.671875 1593524280.7256
MEM 269.687500 1593524280.8263
MEM 269.687500 1593524280.9271
MEM 269.750000 1593524281.0278
MEM 269.753906 1593524281.1285
MEM 269.753906 1593524281.2293
MEM 269.781250 1593524281.3300
MEM 269.804688 1593524281.4307
MEM 269.878906 1593524281.5314
MEM 269.882812 1593524281.6322
MEM 270.199219 1593524281.7329
MEM 270.265625 1593524281.8336
MEM 270.265625 1593524281.9344
MEM 270.625000 1593524282.0351
MEM 271.078125 1593524282.1358
MEM 271.144531 1593524282.2366
MEM 271.175781 1593524282.3373
MEM 271.312500 1593524282.4380
MEM 271.375000 1593524282.5388
MEM 271.375000 1593524282.6395
MEM 271.437500 1593524282.7402
MEM 271.496094 1593524282.8409
MEM 271.562500 1593524282.9417
MEM 271.625000 1593524283.0424
MEM 271.625000 1593524283.1431
MEM 271.625000 1593524283.2438
MEM 271.687500 1593524283.3446
MEM 271.687500 1593524283.4453
MEM 271.937500 1593524283.5460
MEM 271.968750 1593524283.6468
MEM 272.031250 1593524283.7475
MEM 272.031250 1593524283.8483
MEM 272.093750 1593524283.9490
MEM 272.093750 1593524284.0497
MEM 272.156250 1593524284.1505
MEM 272.453125 1593524284.2512
MEM 272.468750 1593524284.3519
MEM 272.535156 1593524284.4526
MEM 272.535156 1593524284.5533
MEM 272.597656 1593524284.6541
MEM 272.597656 1593524284.7548
MEM 272.597656 1593524284.8556
MEM 272.660156 1593524284.9563
MEM 272.660156 1593524285.0570
MEM 272.679688 1593524285.1578
MEM 272.738281 1593524285.2585
MEM 272.949219 1593524285.3602
MEM 272.949219 1593524285.4609
MEM 273.136719 1593524285.5617
MEM 273.136719 1593524285.6624
MEM 273.199219 1593524285.7631
MEM 273.199219 1593524285.8638
MEM 273.414062 1593524285.9646
MEM 273.414062 1593524286.0653
MEM 273.433594 1593524286.1660
MEM 273.449219 1593524286.2668
MEM 273.601562 1593524286.3675
MEM 273.640625 1593524286.4683
MEM 273.703125 1593524286.5690
MEM 273.933594 1593524286.6697
MEM 274.042969 1593524286.7704
MEM 274.042969 1593524286.8711
MEM 274.105469 1593524286.9719
MEM 274.167969 1593524287.0726
MEM 274.167969 1593524287.1734
MEM 274.167969 1593524287.2741
MEM 274.226562 1593524287.3748
MEM 274.273438 1593524287.4755
MEM 274.351562 1593524287.5763
MEM 274.351562 1593524287.6770
MEM 274.414062 1593524287.7777
MEM 274.437500 1593524287.8785
MEM 274.468750 1593524287.9792
MEM 274.492188 1593524288.0799
MEM 274.570312 1593524288.1807
MEM 274.640625 1593524288.2814
MEM 274.703125 1593524288.3821
MEM 274.917969 1593524288.4829
MEM 275.085938 1593524288.5836
MEM 275.089844 1593524288.6843
MEM 275.101562 1593524288.7850
MEM 275.171875 1593524288.8858
MEM 275.187500 1593524288.9865
MEM 275.199219 1593524289.0872
MEM 275.273438 1593524289.1880
MEM 275.273438 1593524289.2887
MEM 275.335938 1593524289.3894
MEM 275.746094 1593524289.4902
MEM 275.765625 1593524289.5909
MEM 275.871094 1593524289.6916
MEM 275.933594 1593524289.7924
MEM 275.996094 1593524289.8931
MEM 276.007812 1593524289.9938
